 Chapter_no,title,sect_no,sect_desc,subsec_1,subsec_2,subsec_3,subsec_desc,explanation ,reference
Chapter I ,Preliminary,1,Short title,1,,,"This Ordinance may be called the copyright Ordinance, 1962.",,
Chapter I ,Preliminary,1,Short title,2,,,It extends to the whole of Pakistan.,,
Chapter I ,Preliminary,1,Short title,3,,,"It shall come into force on such date as the Federal Government may, by
notification in the official Gazette, appoint.",,
Chapter I ,Preliminary,2,Definitions,a,,,"""adaptation"" means:- ----",,
Chapter I ,Preliminary,2,Definitions,a,i,,"in relation to a dramatic work, the conversion of the work into a
non-dramatic work;",,
Chapter I ,Preliminary,2,Definitions,a,ii,,"in relation to a literary work or an artistic work, the conversion of
the work into a dramatic work by way of performance in public or
otherwise.",,
Chapter I ,Preliminary,2,Definitions,a,iii,,"in relation to a literary or dramatic work, any abridgment of the
work or any version of the work in which the story or action is
conveyed wholly or mainly by means of pictures in a form suitable
for reproduction in a book, or in a newspaper, magazine or similar
periodical; and",,
Chapter I ,Preliminary,2,Definitions,a,iv,,"in relation to a musical work, any arrangement or transcription of the work;",,
Chapter I ,Preliminary,2,Definitions,b,,,"""architectural work of art"" means any building or structure having an
artistic character or design, or any model for such building o structure;",,
Chapter I ,Preliminary,2,Definitions,c,,,"""artistic"" work' means:-",,
Chapter I ,Preliminary,2,Definitions,c,i,,"a painting, a sculpture, a drawing (including a diagram, map, chart
or plan), an engraving or a photograph, whether or not any such
work possess artistic quality;",,
Chapter I ,Preliminary,2,Definitions,c,ii,,an architectural work of art; and,,
Chapter I ,Preliminary,2,Definitions,c,iii,,any other work or artistic craftsmanship;,,
Chapter I ,Preliminary,2,Definitions,ca,,,"""audio-visual work"" means a work which consists of a series of related
images which are intrinsically intended to be shown by the use of a
machine or device, such as a projector, viewer or electronic equipment,
together with accompanying sound, if any, regardless of the nature of the
material object, such as film or tape, in which the work is embodied;",,
Chapter I ,Preliminary,2,Definitions,d,,,"""author"" means:-",,
Chapter I ,Preliminary,2,Definitions,d,i,,"in relation to a literary or dramatic work, the author of the work;",,
Chapter I ,Preliminary,2,Definitions,d,ii,,"in relation to a musical work, the composer;",,
Chapter I ,Preliminary,2,Definitions,d,iii,,"in relation to an artistic work other than a photograph, the artist;",,
Chapter I ,Preliminary,2,Definitions,d,iv,,"in relation to a photograph, the person taking the photograph;",,
Chapter I ,Preliminary,2,Definitions,d,v,,"in relation to a cinematographic work, the owner of the work at the
time of its completion; and",,
Chapter I ,Preliminary,2,Definitions,d,vi,,"in relation to a record the owner of the original plate from which the
record is made, at the time of the making of the place;",,
Chapter I ,Preliminary,2,Definitions,e,,,"""Board"" means the Copyright Board constituted under section 45;",,
Chapter I ,Preliminary,2,Definitions,f,,,"""book"" includes every volume, or division of a volume, and pamphlet, in
any language, and every sheet of music, map, chart or plan, separately
printed or lithographed, but does not include a periodical or newspaper;",,
Chapter I ,Preliminary,2,Definitions,g,,,"""calendar year"" means the year commencing on the first day of January;",,
Chapter I ,Preliminary,2,Definitions,h,,,"""cinematographic work"" means any sequence of visual images including
video films of every kind, recorded on material of any description (whether
translucent or not), whether silent or accompanied by sound, which, if
shown (played back, exhibited) conveys the sensation of motion;",,
Chapter I ,Preliminary,2,Definitions,ha,,,"""copy"" includes any material object in which a work is fixed by any
method and from which the work can be perceived, reproduced or
otherwise communicated, either directly or with the aid of a machine or
device;",,
Chapter I ,Preliminary,2,Definitions,hb,,,any alteration of a trade description as regards the goods or services to which it is applied whether by way of addition. effacement or otherwise where that alteration makes the description untrue or misleading in a material respect,,
Chapter I ,Preliminary,2,Definitions,hb,,,"counterfeit copy"" means a copy which is an imitation of another copy and
appears to be, but is not, genuine;"";",,
Chapter I ,Preliminary,2,Definitions,i,,,"""delivery"" in relation to a lecture, includes delivery by means of any
mechanical instrument or by broadcast or telecast;",,
Chapter I ,Preliminary,2,Definitions,j,,,"""dramatic work"" includes any piece for recitation, choreographic work or
entertainment in dumb show, the scenic arrangement or acting form of
which is fixed in writing or otherwise but does not include a
cinematographic work;",,
Chapter I ,Preliminary,2,Definitions,k,,,"""engravings"" include"" etchings, lithographs, woodcuts, prints and other 
similar works, not being photographs; ",,
Chapter I ,Preliminary,2,Definitions,l,,,"""exclusive license"" means a license which confers on the licensee or on the 
licensee and persons authorized by him, to the exclusion of all other 
persons (including the owner of the copyright), any right comprised in the 
copyright in a work and ""exclusive licensee"" shall be construed 
accordingly;",,
Chapter I ,Preliminary,2,Definitions,m,,,"""Government work"" means a work which is made or published by or under 
the direction or control of:-",,
Chapter I ,Preliminary,2,Definitions,m,i,,the Government or any department of the Government; or ,,
Chapter I ,Preliminary,2,Definitions,m,ii,,"any court, tribunal or other judicial or legislative authority in Pakistan; 
",,
Chapter I ,Preliminary,2,Definitions,n,,,"""infringing copy"" means,-",,
Chapter I ,Preliminary,2,Definitions,n,i,,"in relation to a literary, dramatic or artistic work, a reproduction 
thereof otherwise than in the form of a cinematographic work; ",,
Chapter I ,Preliminary,2,Definitions,n,ii,,"in relation to cinematographic work, a copy of the work or a record 
embodying the recording in any part of the sound track associated 
with the film;",,
Chapter I ,Preliminary,2,Definitions,n,iii,,"in relation to a record, any record, embodying the same recording; 
and  ",,
Chapter I ,Preliminary,2,Definitions,n,iv,,"in relation to a programme in which a broadcast reproduction right 
subsists under section 24, a record recording the programme: if 
such reproduction, copy or record is made  or imported in 
contravention of any of the provision of this Ordinance;  ",,
Chapter I ,Preliminary,2,Definitions,o,,,"""lecture"" includes address, speech and sermon; ",,
Chapter I ,Preliminary,2,Definitions,p,,,"""literary work"" includes works on humanity, religion, social and physical 
sciences, tables ""compilations and computer programmes, that is to say 
programmes recorded on any disc, tape, perforated media or other 
information storage device, which, if fed into or located in a computer or 
computer-based equipment is capable of reproducing any information"" ",,
Chapter I ,Preliminary,2,Definitions,q,,,"""manuscript"" means the original document embodying the work, whether 
written by hand or not;",,
