chapter_no,title,sect_no,sect_desc,subsec_1,subsec_2,subsec_3,subsec_desc,
Chapter 1 ,Preliminary,1,Short title,1,,,"This Ordinance may be called the Trade Marks Ordinance, 2001.",
Chapter 1 ,Preliminary,1,Short title,2,,,It extends to the whole of Pakistan.,
Chapter 1 ,Preliminary,1,Short title,3,,, This section and section 132 shall come into force at once and the remaining,
Chapter 1 ,Preliminary,2,Definitions,i,,,"""advertising"" means the making of representation in any form in connection
with a trade, business or profession in order to promote the supply of goods or
services. ",
Chapter 1 ,Preliminary,2,Definitions,ii,,," ""assignment"" in relation to a trade mark, means an assignment in writing by act of the parties concerned;",
Chapter 1 ,Preliminary,2,Definitions,iii,,,"""authorized user"" means a person authorised to use a trade mark in relation to goods or services under the control of the owner of the trade mark and includes a licensee;",
Chapter 1 ,Preliminary,2,Definitions,iv,,,"""certification mark"" means a certification mark as defined in sub-section (1) or section 83;",subsec_1 or sect_no 83
Chapter 1 ,Preliminary,2,Definitions,v,,,"""collective mark"" means a collective mark as defined in sub-section (1) of section 82;",subsec_ 1 of sect_no 82
Chapter 1 ,Preliminary,2,Definitions,vi,,,"""comparative advertisement"" means and advertisement which explicitly or by implication identifies a competitor or goods or services offered by a competitor;",
Chapter 1 ,Preliminary,2,Definitions,vii,,,"""Convention application"" means an application as defined in sub-section(1) of section 25;",
Chapter 1 ,Preliminary,2,Definitions,viii,,,"""Convention country"" means a Convention country as defined in clause (b) of sections 85;",
Chapter 1 ,Preliminary,2,Definitions,ix ,,,"""counterfeit trade mark goods"" means any goods including packaging bearing without authorization a trade mark which is identical to the trade mark validly registered in respect of such goods or which cannot be distinguished in its essential aspects from such a trade mark and thereby infringes rights of the owner of the trade mark under this ordinance;",
Chapter 1 ,Preliminary,2,Definitions,x,,,"""date of filing"" means-",
Chapter 1 ,Preliminary,2,Definitions,x,a,,in relation to an application for the registration of a trade mark the day on which the application is filed pursuant to sub-section (1) of section 23,subsec_1 of sect_no23
Chapter 1 ,Preliminary,2,Definitions,x,b,,"in relation to a divisional application for the registration of a trade mark, the day on which the initial application within the meaning of sub-section (1) of section 32 is filed; or",subsec_1 of sect_no32 
Chapter 1 ,Preliminary,2,Definitions,x ,c,,in relation to an application to provide temporary protection during exhibition the day referred to in sub-section (1) of section 26,subsec_1 of sect_no26
Chapter 1 ,Preliminary,2,Definitions,x,d,," in relation to a Convention application, the day referred to in clause (a) of sub-section (2) of section 25;", a of subsec_2 of sect_no25
Chapter 1 ,Preliminary,2,Definitions,xi,,,"""date of registration"" in relation to the registration of a trade mark in respect of particular goods or services, means the day from which the registration of the trade mark in respect of those goods or services is taken to have had effect under sub-section (3) of section 33;", subsec_ 3 of sect_no33
Chapter 1 ,Preliminary,2,Definitions,xii,,,"""deceptively similar"" in relation to a trade mark, means such near resemblance between it and another trade mark that it is likely t deceive or cause confusion:",
Chapter 1 ,Preliminary,2,Definitions,xiii,,,"""dilution"" means the lessening of the capacity of a well known trade mark to identify and distinguish the goods or services, regardless of the presence or absence of competition between owner of he well know trade mark or other parties. or likelihood of confusion or deception:",
Chapter 1 ,Preliminary,2,Definitions,xiv,,,"""District Court"" has the meanings assigned t that expression by the code of Civil Procedure, 1908 (Act v of 1908);",
Chapter 1 ,Preliminary,2,Definitions,xv,,,"""divisional application"" mean a divisional application as defined in subsection (1) of section 32;", subsec_1 of sect_no32
Chapter 1 ,Preliminary,2,Definitions,xvi,,,"""domain name"" means the domain name as defined in sub-section (1) of section 84;", subsec_1 of sect_no84
Chapter 1 ,Preliminary,2,Definitions,xvii,,,"""earlier trade mark"" means an earlier trade mark as defined in subsection (1) of section 18:",subsec_1 of sect_no18
Chapter 1 ,Preliminary,2,Definitions,xviii,,,"""false trade description"" means-",
Chapter 1 ,Preliminary,2,Definitions,xviii,a,,a trade description which is untrue or misleading in a material respect as regards the goods or services to which it is applied.,
Chapter 1 ,Preliminary,2,Definitions,xviii,b,,any alteration of a trade description as regards the goods or services to which it is applied whether by way of addition. effacement or otherwise where that alteration makes the description untrue or misleading in a material respect,
Chapter 1 ,Preliminary,2,Definitions,xviii,c,,any mark or arrangement or combination thereof when applied-,
Chapter 1 ,Preliminary,2,Definitions,xviii,c,i,to goods in such a manner as to be likely to lead persons to believe that the goods are the manufacture or merchandise of some person other than the person whose merchandise or manufacture they really are,
